,divisions,title,abstract,subjects,publication
0,['FH2'],Principles of Islamic Sharia Economic Law in Facing the Challenges of Global Competition,Hasil Check Similarity,['K1'],American Journal of Humanities and Social Sciences Research (AJHSSR)
1,['FKIP24'],Media Pembelajaran Digital sebagai Sumber Belajar Mahasiswa Pendidikan Sejarah,"Kegiatan pembelajaran siswa SMA dan SMK mutlak perlu memanfaatkan penggunaan media pembelajaran sejarah digital. Tujuan dari penelitian ini adalah untuk mengetahui manfaat dari pelibatan media pembelajaran berbasis digital sebagai sarana pembelajaran bagi mahasiswa pelatihan sejarah. Dalam kegiatan pembelajaran, pendidik khususnya guru atau dosen dapat menggunakan media pembelajaran untuk memudahkan siswa dalam memahami konten yang disajikan. Pembelajaran sejarah melalui materi pembelajaran sejarah pada akhirnya dapat meningkatkan pemahaman siswa terhadap materi pelajaran yang dipelajarinya.Temuan penelitian menunjukkan bahwa siswa dalam pendidikan sejarah memanfaatkan media pembelajaran sejarah digital dengan baik sebagai sumber belajar. Menurut tanggapan angket siswa 57,1 % sangat setuju dan 34,7% setuju. Artinya, mayoritas siswa berpendapat bahwa media pembelajaran sejarah berbasis digital merupakan sumber belajar yang dapat dimanfaatkan untuk mencapai tujuan pembelajaran yang dimaksud.",['LA'],EDUKATIF : JURNAL ILMU PENDIDIKAN
2,['FKIP15'],"Check Smimilarity: STUDI PENDAHULUAN: PENGEMBANGAN E-LKPD DALAM UPAYA PEMAHAMAN KETERAMPILAN BERPIKIR KREATIF PADA
PEMBELAJARAN ILMU PENGETAHUAN ALAM",,['L1'],
3,['FKIP17'],"Impacts of integrating engineering design process into STEM
makerspace on renewable energy unit to foster students’ system
thinking skills","Currently, science education systems around the world are faced with global challenges, especially in anticipating environmental changes related to sustainable development programs. Complex system problems related to climate change, reduced fossil-based energy reserves, and social environmental problems that have an impact on the economy have made stakeholders aware of the Education for Sustainability Development (ESD) program. This study aims to examine the effectiveness of STEM-PBL integrated Engineering Design Process (EDP) in renewable energy learning units to improve students’ system thinking skills. The quantitative experimental research with a non-equivalent control group design was conducted on 67 high school students in XI grades. The results showed that the performance of students who were taught with STEM-EDP was better than students who studied with traditional STEM learning approach. In
addition, this learning strategy also encourages students to be actively involved in every EDP process so that they show good performance in mind-on and hands-on activities which have an impact on increasing students’ system thinking abilities. Furthermore, the STEM-EDP learning is implemented to develop students’ ability to design through applied technology and engineered activities, paying special attention to design-based theory. It does not require students and teachers to prepare super-sophisticated technology, because the integration of technology in this
learning design used cheap, simple and ‘easy to find’ equipments, to create more meaningful learning packages. In the critical pedagogy, STEM-PBL integrated EDP can be used to systematically foster students’ STEM literacy and thinking skills through the engineering design thinking
process, thus expanding students’ cognitive building and perspectives in reducing the routine in conventional pedagogy.",['L1'],Heliyon
4,,"Assessing Willingness to Pay for Improved Water Services from Forest Area in Bayas Jaya Village, Lampung Province","One of the important functions of the forest is to provide water to the community. Improvement of water services from forest areas requires the community's participation. This study aims at (1) identifying the community's willingness to pay for improved water services and (2) determining factors affecting the community's willingness to pay. This study is located in Bayas Jaya Villages and the upland area of Kedondong Sub-District, Pesawaran District, Lampung Province. The study interviewed 75 farmers of 3 water services management, i.e.: (1) independent, (2) PAMSIMAS, and (3) PDAM. Each management water service was represented by 25 members who were randomly selected. Objective one is analyzed using descriptive analysis, and objective twoisanalyzedusingaregressionanalysismodel. Thestudysuggeststhat,onaveragecommunity received 10,6m3 per day, which is far higher than their daily consumed, i.e., 460 l per day. However, water surplus is not optimized as they are drained to the local sewer. Further, 56% of the community is willing to pay should water services be improved. The average willingness to pay is Rp 440,357.14 annually per family. Factors affecting the community's willingness to pay, include (1) the PDAM model, (2) the PAMSIMAS model, (3) age, and (4) daily water discharge to family",['S1'],4th International Conference in Agroforestry 2022
5,['FP1'],Similarity test IOP COnference 2023 assessing willingness to pay zainal irwan dan dame,Similarity test artikel Assessing WIllingness to pay for improved water services zainal irwan dan dame,['S1'],
6,['FP17'],Metode Sexing Spermatozoa XY dan Aplikasi Inseminasi Buatan untuk Mendapatkan Jenis Kelamin Anak sesuai Harapan pada Kambing Saburai,,['SF'],
7,['FP3'],Identification and Predictive Bioconversion of Cholesterol to Estran and Androst Hormones from Scalloped Spiny Lobster  (Panulirus homarus) Gonads,"Steroidal hormones process from gonadal maturation of scalloped spiny lobster (Panulirus homarus) not established due to undeveloped practice of hatchery technology. Two steroid hormones i.e. estran and androst were elucidated previously and involved on gonadal maturation of scalloped spiny lobster. This study aimed to identified and evaluate role of cholesterol as raw material of estran and androst hormones. Eighteen individuals of immature and mature female scalloped spiny lobster gonads were used and analysed with pyrolysis gas chromatography mass spectrometry (py-GCMS). Results found that cholesta-8,24-dien-3-ol, 4-methyl-3ß-4α (C28H46O) with molecular weight 368 assumed as raw materials for estran and androst hormones. Scalloped spiny lobster may process the enzymatic systems that able to catalysed the bioconversion of cholesta-8,24-dien-3-ol, 4-methyl-3ß-4α to estran and androst hormones.","['Q1', 'QL']","International Advanced Research Journal in Science, Engineering and Technology"
8,['FH3'],Free Verdict Against Executors of Illegal Fees as Corruption Crimes,"Illegal levies are the designation of all forms of 
levies that are unofficial, which have no legal 
basis, so the act of levies is referred to as illegal 
levies. One of the criminal acts of corruption that 
occurs in people's lives is illegal fees. An example 
of a criminal case of illegal fees is the case in 
Decision Number: 46/Pid.Sus-TPK/2018/PN.Tjk 
in that case the defendant was acquitted. Judging 
from the judge's decision that acquitted the 
defendant, the authors conducted research on the 
identification of illegal fees as a criminal act of 
corruption and what was the basis for the 
considerations of the Panel of Judges in passing 
an acquittal in cases of criminal acts of 
corruption based on Decision Number: 
46/Pid.Sus-TPK/2018/ PN. Tjk. The problem with 
this research is the identification of extortion as a 
criminal act of corruption. and what are the basic 
considerations of the Panel of Judges in passing 
an acquittal in a corruption case based on 
Decision Number: 46/ Pid.Sus -TPK/2018/PN. 
Tjk
The research method used is normative juridical 
research method, sources of primary and 
secondary legal materials. From this study it can 
be concluded that illegal fees can be categorized 
as a criminal act of corruption, this action is 
Submitted: Marrch 20, 2023; Reviewed: March 30, 2023; Accepted: April 6, 2023
Free Verdict Against … Agnesia Mutiara Sani,1 Maya Shafira,
2 Ahmad Irzal
 Fardiansyah3
14
regulated in Article 12 letter e of Law Number 31 
of 1999 which has been amended and added to 
Law Number 20 of 2001 concerning Eradication 
of Corruption Crimes. That the basis for the 
judge's considerations in deciding that the 
corruption case was free of Decision Number: 
46/Pid.Sus-TPK/2018/PN.Tjk Defendant did not 
meet the elements of ""benefiting oneself or 
others"" and the element of ""receiving gifts or 
promises"" as charged in the Alternative 
indictment by the Public Prosecutor, so that the 
defendant is not legally and convincingly proven
guilty of committing a criminal act of corruption.

Corruption; Free Verdict; Illegal Fees,",['K1'],CORRUPTIO
9,['FP25'],"Similarity:Phosphorus and Boron Application on Growth, Yield, and Quality of
Soybean Seeds (Glycine max [L.] Merril)",,['S1'],
10,['FP25'],"Similarity:The Effects of Foliar Boron and Silica Through the
Leaves on Soybean Growth and Yield",,['S1'],
11,['FP25'],"Similiarity:Root Yield and Starch Synthase Type IV Gene Activity under
Different Micro Nutrient Fertilizer and Harvest Ages on
Cassava (Manihot esculenta Crantz)",,['S1'],
12,['FP25'],"Similiarity:The Effect of Difference Soaking Duration and GA3
Concentration on Germination of oil Palm (Elaeis Guineensis
Jacq)",,['S1'],
